MTD	mzTab-version	1.0
MTD	mzTab-mode	Summary
MTD	mzTab-type	Quantification
MTD	description	Aligned peak list-TGdd
MTD	software[1]	[MS, MS:1002342, MZmine, 2.38]
MTD	smallmolecule_search_engine_score[1]	[MS, MS:1001153, search engine specific score, ]
MTD	fixed_mod[1]	[MS, MS:1002453, No fixed modifications searched, ]
MTD	variable_mod[1]	[MS, MS:1002454, No variable modifications searched, ]
MTD	small_molecule-quantification_unit	[PRIDE, PRIDE:0000330, Arbitrary quantification unit, ]
MTD	ms_run[1]-location	file:/QE2_sbs_11_2[blank].mzXML
MTD	ms_run[2]-location	file:/QE2_sbs_11_18[pooled_qc].mzXML
MTD	ms_run[3]-location	file:/QE2_sbs_11_17[neat_qc].mzXML
MTD	ms_run[4]-location	file:/QE2_sbs_11_1[blank].mzXML
MTD	assay[1]-ms_run_ref	ms_run[1]
MTD	assay[2]-ms_run_ref	ms_run[2]
MTD	assay[3]-ms_run_ref	ms_run[3]
MTD	assay[4]-ms_run_ref	ms_run[4]

SMH	identifier	chemical_formula	smiles	inchi_key	description	exp_mass_to_charge	calc_mass_to_charge	charge	retention_time	taxid	species	database	database_version	uri	spectra_ref	search_engine	best_search_engine_score[1]	modifications	smallmolecule_abundance_assay[1]	opt_assay[1]_peak_mz	opt_assay[1]_peak_rt	opt_assay[1]_peak_height	smallmolecule_abundance_assay[2]	opt_assay[2]_peak_mz	opt_assay[2]_peak_rt	opt_assay[2]_peak_height	smallmolecule_abundance_assay[3]	opt_assay[3]_peak_mz	opt_assay[3]_peak_rt	opt_assay[3]_peak_height	smallmolecule_abundance_assay[4]	opt_assay[4]_peak_mz	opt_assay[4]_peak_rt	opt_assay[4]_peak_height
SML	null	null	null	null	null	82.05326080322266	null	null	0.07585833333333333	null	null	null	null	null	null	null	null	null	9458368.148640627	82.05326080322266	0.07568333333333334	1.0842282E7	1.3592159620859377E7	82.05328369140625	0.07581666666666667	1.4704025E7	1.5432383533859381E7	82.05325317382812	0.07586666666666667	1.8098286E7	6134049.705277343	82.0532455444336	0.07606666666666667	6247274.0
SML	null	null	null	null	null	82.53784370422363	null	null	0.09395833333333332	null	null	null	null	null	null	null	null	null	2235235.2739609377	82.53787612915039	0.09346666666666666	867467.9375	2150425.868254882	82.53780364990234	0.09386666666666667	596210.3125	2261309.809113282	82.53781509399414	0.09391666666666666	631509.75	2120685.663191407	82.53787994384766	0.09458333333333332	1113743.25
SML	null	null	null	null	null	82.53785228729248	null	null	0.6616458333333333	null	null	null	null	null	null	null	null	null	166009.7747033691	82.53788375854492	0.6580999999999999	56447.11328125	181675.86643896488	82.53787994384766	0.6616666666666667	54296.8203125	212628.734756958	82.537841796875	0.66615	66783.9609375	184464.14770837405	82.53780364990234	0.6606666666666666	57899.66015625
SML	null	null	null	null	null	83.05026245117188	null	null	17.183000000000003	null	null	null	null	null	null	null	null	null	2042709.214023442	83.05023193359375	17.174333333333333	314353.125	2114076.440507816	83.05032348632812	17.1855	280227.15625	null	null	null	null	2555196.6012890567	83.05023193359375	17.189166666666665	362727.65625
SML	null	null	null	null	null	83.0502758026123	null	null	17.45558333333333	null	null	null	null	null	null	null	null	null	938303.3916797	83.05023574829102	17.480166666666666	172006.53125	617275.9886328148	83.0503158569336	17.430999999999997	139900.671875	null	null	null	null	null	null	null	null
SML	null	null	null	null	null	83.05011240641277	null	null	0.0798	null	null	null	null	null	null	null	null	null	92579.25236718751	83.05017852783203	0.08126666666666667	82394.15625	101251.71733935548	83.05021667480469	0.07581666666666667	101461.1171875	null	null	null	null	186509.99458203127	83.04994201660156	0.08231666666666666	54551.078125
SML	null	null	null	null	null	83.0566291809082	null	null	17.192958333333333	null	null	null	null	null	null	null	null	null	1.4843491486250013E7	83.05667877197266	17.174333333333333	2033284.375	1.3707969823124895E7	83.05664825439453	17.1855	1651480.0	1.2452451574062586E7	83.056640625	17.2015	1591210.125	1.6195309974687627E7	83.05654907226562	17.210500000000003	1936310.75
SML	null	null	null	null	null	83.0566635131836	null	null	17.46916666666667	null	null	null	null	null	null	null	null	null	6213511.607500071	83.0566635131836	17.46916666666667	1020819.25	null	null	null	null	null	null	null	null	null	null	null	null
SML	null	null	null	null	null	83.05659008026123	null	null	0.07725416666666667	null	null	null	null	null	null	null	null	null	392829.75458056654	83.05661392211914	0.08126666666666667	453620.5	589197.4436738283	83.0566177368164	0.07581666666666667	640072.5	720768.2147866214	83.05657958984375	0.07586666666666667	831095.3125	274636.35067187494	83.05654907226562	0.07606666666666667	281263.4375
SML	null	null	null	null	null	83.06111240386963	null	null	17.016166666666667	null	null	null	null	null	null	null	null	null	9152691.524374956	83.0611343383789	17.021666666666665	2987254.75	1.487737809609379E7	83.06112289428711	17.014	3570853.75	1.3223209771718698E7	83.06110763549805	17.013333333333332	3268130.0	1.3633437475000067E7	83.06108474731445	17.015666666666668	3740251.75
SML	null	null	null	null	null	83.06107997894287	null	null	0.0804875	null	null	null	null	null	null	null	null	null	1394352.043737793	83.06108474731445	0.07568333333333334	484843.46875	1266895.6164774166	83.06107330322266	0.07581666666666667	280340.625	1227521.5722089843	83.06108856201172	0.07586666666666667	224703.75	2171777.3594570314	83.06107330322266	0.09458333333333332	965337.6875
SML	null	null	null	null	null	84.04508590698242	null	null	17.026	null	null	null	null	null	null	null	null	null	1783064.4705663738	84.04507446289062	17.027333333333335	437720.1875	1862530.6957422115	84.04507446289062	17.019666666666666	459946.71875	1684984.660351557	84.04510879516602	17.013333333333332	492767.5625	1825369.7500781121	84.04508590698242	17.043666666666667	449020.46875
SML	null	null	null	null	null	84.04518032073975	null	null	0.14554166666666665	null	null	null	null	null	null	null	null	null	2994286.2268124996	84.045166015625	0.20338333333333333	284376.25	2907704.5847416986	84.04518127441406	0.09931666666666666	418068.8125	3129907.723046875	84.04518508911133	0.09936666666666666	328238.5625	2285283.808796875	84.0451889038086	0.18009999999999998	228254.234375
SML	null	null	null	null	null	84.05638313293457	null	null	17.05004166666667	null	null	null	null	null	null	null	null	null	1.9268259636176586E7	84.05638122558594	17.044166666666666	3921777.5	1.3004482549355675E7	84.05638122558594	17.048	3139073.0	1.3347935171730937E7	84.0563735961914	17.064333333333334	2853286.25	2.093728256729462E7	84.056396484375	17.043666666666667	3867050.5
SML	null	null	null	null	null	84.05633640289307	null	null	0.07887916666666665	null	null	null	null	null	null	null	null	null	326799.4693151857	84.05633163452148	0.08126666666666667	341595.875	110823.98452001957	84.05638122558594	0.07014999999999999	111077.6484375	276745.23985034187	84.05632019042969	0.09391666666666666	70747.7109375	263058.6171555786	84.05631256103516	0.07018333333333333	235965.046875
SML	null	null	null	null	null	84.05639839172363	null	null	17.456625	null	null	null	null	null	null	null	null	null	1133486.1196093624	84.056396484375	17.474666666666668	287960.9375	1127517.7789062234	84.05636978149414	17.442	259037.328125	902590.4610937336	84.0563850402832	17.464333333333332	223376.390625	1842344.0148437333	84.05644226074219	17.4455	359993.4375
SML	null	null	null	null	null	84.08153915405273	null	null	0.0307625	null	null	null	null	null	null	null	null	null	1197441.77040625	84.08155059814453	0.029050000000000003	348764.78125	1016341.0392910156	84.08153533935547	0.022183333333333333	303767.09375	1081032.5302539063	84.08153533935547	0.042749999999999996	304140.0	1974275.6236433105	84.08153533935547	0.029066666666666668	531813.5
